,sentence,similarity_with_sub,username
0,looking out for a new horizon reaching out i can almost see the place holding on with the heart that frozen in the dark but i am not afraid no i am not afraid we be free but i do not know where we going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we be free but i do n know where we going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild,1.0,lyrics
3664,looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i do not know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9901579924148363,CARVIN ALJERTHON QUIÑONES VERA
4697,looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i do not know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9901579924148363,• sinnah •
3847,lyrics lions in the wild looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9811974808833409,O'Connor D. Mat
3274,looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost one s find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9787658324197133,Noe Oliva
658,looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild like lions in the wild like lions in the wild,0.9782354764016608,Sunny B
1438,looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild like lions in the wild like lions in the wild,0.9782354764016608,Altu? Karabulut
157,looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild like lions in the wild like lions in the wild,0.9782354764016608,Ashish Chawla
3291,lyric looking out for a new horizon reaching out i can almost see the place holding on with a heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost ones find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild like lions in the wild like lions in the wild,0.9767548233534831,DAMIANB17
5118,looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost one s find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9756480098975963,ShadowKiller
552,lyrics looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we quot ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost one s find their freedom in the dark but i am not afraid no i am not afraid we quot ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild like lions in the wild,0.9751547719558638,Arvesel GT
566,lyrics looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we quot ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost one s find their freedom in the dark but i am not afraid no i am not afraid we quot ll be free but i don t know where we re going you and me this is our life and we own it like lions in the wild like lions in the wild like lions in the wild like lions in the wild,0.9751547719558638,•Planeur62•
3024,lyrics looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost one s find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9749074799921169,Bruno Matias
4487,i love this text looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost one s find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9732779436800681,Teo
3499,quot lions in the wild quot with third party feat john martin looking out for a new horizon reaching out i can almost see the place holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild looking out at the open skyline reaching out i can almost touch the place where the lost one s find their freedom in the dark but i am not afraid no i am not afraid we ll be free but i don t know where we re going you and me this our life and we own it like lions in the wild like lions in the wild like lions in the wild,0.9688041562041547,yolo faal
3512,we ll be free but i do not know where we re going you and me this is our life and we own it like lions in the wild,0.712475930273797,DJ-ZDGMusik
2561,like lions in the wild,0.6809695383753387,Laura De Paolis
3573,like lions in the wild,0.6809695383753387,Raquel Freitas
3776,like lions in the wild,0.6809695383753387,AREA21
3079,like lions in the wild,0.6809695383753387,America Gonzalez
3287,like lions in the wild,0.6809695383753387,Elizabeth
2228,like lions in the wild,0.6809695383753387,Abel & CAIN
3015,like lions in the wild,0.6809695383753387,Fernando Briones
3986,we llbe free but i don t know where we re going you and me this is our life and we own it like lions in the wild,0.6637384880265758,Lisa K.
716,in the dark but i am not afraid no i am not afraid we be free but i dont know where we going,0.6627071283464709,Fernando Diaz
4589,in the dark but i am not afraid,0.6625891564490792,Kevin Surya
1879,in the dark but i am not afraid,0.6625891564490792,ORIOL 8
678,you and me this is our life like we own it like lions in the wild,0.6533865292761755,Ichigo Orihime
3590,lions in the wild,0.6442167677905001,CHUCU
2421,lions in the wild,0.6442167677905001,Anuj Ganga
3575,lions in the wild,0.6442167677905001,ANDSICK
2916,lions in the wild,0.6442167677905001,Mayank Magar
101,lions in the wild,0.6442167677905001,Nayeli Burgos
2143,lions in the wild,0.6442167677905001,Lorenzo Garcia
2789,lions in the wild,0.6442167677905001,Yerly Teran
495,lions in the wild,0.6442167677905001,susana gil
4124,like in the wild,0.6442167677905001,Nicole Javier Farfan
4061,lions in the wild,0.6442167677905001,jeffersonstanley thierry theodate
869,lions in the wild,0.6442167677905001,fernanda santana
3026,quot we ll be free but i dont know where we are going you and me this is our life and we own it like lions in the wild quot,0.6420242378222333,Gloria SK
324,holding on with the heart that s frozen in the dark but i am not afraid no i am not afraid,0.6311168026348662,Helen Esponja Estrella
882,out of all the music i like quot lions in the wild quot the best,0.6268662486873673,????
430,like lions in the wild raaawrr,0.6216372952367549,mikha putri
407,like lions in the wild d,0.6216372952367549,ICE GUM
3357,like lions in the wild go,0.6216372952367549,ORIOL 8
5145,like lions in the wild lt,0.6216372952367549,SpaZe
3349,like lions in the wild lt,0.6216372952367549,Isaac Alejandro Pazmiño Rivera
176,in the dark but i am not afraaaaaaaaid,0.607373393411656,Gamma Senpai
3623,i like the soundtrack but not the video,0.6049843779478736,rusupw
1590,will be free like lions in the wild,0.5935694526523001,Isac Ramos
1327,the song is called quot lions in the wild quot but i see no quot lions in the wild quot in the video something is wrong here,0.5853623249667806,M. Müschen
3505,i love you martin garrix and lions in the wild,0.5802911380316339,Leyda sanchez arroyo
787,like pokemons in the wild,0.576204994009902,Stallone pinto
485,like pyroars in the wild,0.576204994009902,ZeppelinWolf87
3594,b lions in the wild,0.576204994009902,Federico Ochoa
2157,like lions in the willllld,0.576204994009902,lucas 8582
1845,lions in the wild quot,0.576204994009902,Lucius JC 77
3750,like lions in the wiiiiiiiiiiiiiiiiiiiild,0.576204994009902,LukeKing
4068,lions in the wild al,0.576204994009902,andrea nicolao
393,i always loved lions in the wild for a long time i even have the full song on my phone but this is the first time i ve actually seen the video lol,0.5738441031874427,PrincessChica
3263,you are the best grx lions in the wild,0.5650579312176133,Akshat Bhargava
1633,lions live in the savanna not in the desert xd,0.5530443146234145,Endermanso
4563,i am like lions in the wild right now woooooooohooo sick track martijn,0.5522638043258677,Konrad Waa
685,i am a lion in the wild o,0.5521576303742327,Ahmad Murchad
4493,after the lions in the wild can you release the name of love pls,0.5500138579185428,Ezen
2981,martin garricks why don t you add the music at the beginning of lions in the wild in umf that s the best part of the song i think this song is very great though,0.5448910326891039,Vu Huynh
1111,searching pokemons like lions in the wild v,0.5383536896148768,dark sxturn
423,top martin garrix songs for me now that i ve found you tremor lions in the wild break through the silence virus turn up the speakers wizard don look down sun is never going down in the name of love also i forgot spaceships and we did it both were produced by martin as area,0.531985084453785,DJ CHAMPS
424,top martin garrix songs for me now that i ve found you tremor lions in the wild break through the silence virus turn up the speakers wizard don look down sun is never going down in the name of love also i forgot spaceships and we did it both were produced by martin as area,0.531985084453785,DJ CHAMPS
4909,it s nearly the same melody and voices as now that i ve found you please more creative garrix the song is good but it s not lions in the wild and that s not because of the garrix style,0.5302878133549992,Eddie Ria
435,lions in the wiiild,0.5270864463740454,Alexandros Zatse
2370,i like the video,0.5270864463740454,Gamerul Yolo
3630,like lions in the water dududududududuududududududuuu,0.5260007882772542,Stark Art
4616,lions dogs in the wild desert,0.5260007882772542,shikhar tandon
539,b like lion in the wild,0.5260007882772542,Gilberto Mattiuzzo
613,lions in the wild lajons inde,0.5260007882772542,Piotrek Mularczyk
1206,lions garrix in the wild spinnin,0.5260007882772542,Hoàng Nguy?n
631,this song literally makes you feel like the lion in the wild,0.5217399194560514,Harsha Thammegowda
281,in the name of lions he is holding dogs in the wild that too puppies,0.5195164138275135,shubh agarwal
5167,finally it s released i love this song like lions in the wild y lt,0.5141296220727638,Aldy Naibaho
2398,epic video but i guess that lions do not live in the desert,0.5089489961434468,Synthenist
4968,you are the best dj in the world because you make the best song lion in the is the best music now and like name of love waiting for tomorrow i love you,0.507630011973488,Thibault Antoine
2110,quot like lions in the wild quot,0.5075647261379698,Alexander Loreto
83,this song makes me feel right like lions in the wild,0.506197730049112,MR Hamadah
3213,i will run like a lion in the wild whem my mon sees the exam grades,0.5061444945097133,KapouExasaToDromo
2517,the melody and the vocal are amazing but in my opinion the drop is not powerful enough,0.504749446995023,TheNerdBoy
1163,the song is called quot b lions in the wild quot the music video has no lions martin plz,0.5002627568629521,Elon Moosk
1894,i loved the video and the song i love,0.49812029409784153,sandra morales
2865,the unreleased lions in the wild he played at umf is better then this,0.4978038660199319,HD Fireworks
4595,i want to be a lion in the wild,0.4945502459805859,PARIN??
4298,the boss in the wild enjoy your life man,0.49442568981541163,maegwinkma
3053,mar garri please include the martin garrix amp third party lions in the wild intro version in your album i,0.4941219526240872,Sakir Sheikh
3350,the best music in the world is the electronic,0.49396767610912595,Maria Isabel
338,my teacher told us to find some information about wild lions so i put in lions in the wild and this popped up,0.49301257198088033,williamgames
5194,the lion across the field in the wildcard,0.4904355242886883,Lucas ton copain
4750,l liked the song and love and i want to eat the model of the song like lions on the wild hot guy good song best combination ever,0.49028286385041636,Greta Vanderdijs
3714,lions un the wild,0.488043005901894,MAIK3L
2972,we are the lions,0.488043005901894,Rohit Sharma
4798,love the song but what is the plot in the video here,0.4877392401639056,NVTE
1776,like lions in the will gt lt,0.4869821022832881,JorgeAlfredo Alegre
3382,i love all the rhythm the singer the song and video that is why i means points,0.4841386618546788,Judge Song the qualify ok
194,i like the one who still listens in,0.4831379265774536,carlos daza
204,at the first time when i was listening it i hoped the intro would be like in miami lt but sadly it not but i still enjoy it until now lt,0.47967655437214723,Juss Duy ??t
4698,i like the song but the video is only a guy driving to some random places and staring at the sunset d,0.47960358558202615,notAgenius
2296,usually lyrics in edm songs are not good and they don t really fit in the song but this one is different i really like the lyrics in this song,0.4778012227731979,Another1
15,i like the video it really goes with the music the bacground sounds are like from wild west movies haha when someone is hunting bulls or horses acctually the whole vibe is adventureous,0.4740989200189827,Gaia B. Pažitka
2275,like meaow in the box,0.4714404496444653,dungokunyet
239,i most like the beat,0.4714404496444653,Bram van Straaten
1650,all the people put your hans in the air and the song,0.4693339858180978,El bayonita 4
4708,the best dj in the world,0.46933398581809777,BALOTE
2417,the best song in the world,0.46933398581809777,Thunder Stroms
3176,the best dj in the world,0.46933398581809777,Batuhan Edem
1307,the best music in the world,0.46933398581809777,cevher seker
911,mi top togheter that i found you in the wild,0.46917155840855507,Manuel Aquino Lay
2186,is the same music i cant heard the different between this song and the others,0.4685987464063105,Francisco Roman
177,the views from the mountains deserts and hills that giaro got to experience are bad ass anyone know the places where this video was filmed i know in africa but where namibia south africa specially the view of the city at night a v amp t from the mountain what city is that maybe port elizabeth anyone,0.4661961036424874,Juangenaro Montemayor
3722,the best martin garrix quot lions in the wild quot beautiful,0.4637247571636693,Victor Garrix
283,the best dj in the world man i love u and ur music,0.4637247571636693,TheWhisfg16YT
2310,how is it possible that no one has mentioned the fact that the first half of this video was shot on the back drop of some of the most amazing landscape on the planet in namibia i could tell just by looking at the thumbnail,0.46159927219594066,rapan kapenda
2640,the guy looks like james franco and the video looks like hours co i think not,0.45782492127076846,Nishikar Chhibber
1,now this is the martin i like,0.45746803547824033,Leeleee X
4130,for me the best dj in the world,0.4568249384504352,Kunal Brijwani
804,lions in the wild pampamtatantamtampupanpanpapampannnn w t f,0.45553004505874195,LéleuTM
1564,tuts tuts lions in the wild,0.45553004505874195,Gabriela Marques
2156,give likes to this like lions in the wild xd a q aprankstergangsterlovesthissong,0.4548054859154205,ILLUMINATI CONFIRMED
1869,i almost see the place,0.45397969225022583,Angeli Matias
310,mi top best tracks of the best dj martin garrix in the name of love scared to be lonely virus the only way is up crackin tremor wizard lions in the wild forbidden voices poison,0.45049443614715134,rocket 21
2284,i think lions in the wild is martin s next big thing after animals,0.4486963307322042,giorgos13ization
2213,like for the video but not much for the song,0.4486963307322042,Massimo Maresi
5114,you wan na hear a joke lions in the wild,0.44447831849231534,BGN PLAYS
2341,anyone know the filter used in the clip,0.44447831849231534,AissaouI IslaM ProdukshunZ
1760,great who is the guy in the clip,0.44447831849231534,gullifred34
4644,the best in the world martin garrix,0.44249232535105054,tanish sidhu
3662,omgggg i loveee you martin your the best human in the world danm this track is so crazy and so cool i love it,0.44195611009695585,Steffany Coll
4117,destination of the video is cape town south africa quot lions in the wild quot ironic that one of the landmarks used is lions head in cape town,0.4395639469003733,Shaun Williams
1693,i hate when martin is not in the video anyways good song big like,0.4382615323430832,dina world
45,i thought the guy in the white tank top was gareth bale,0.4382615323430832,Olivia Szewczyk
133,i dont like the minute a v amp t the other is awesome,0.43348183821821257,Facu FX
2838,love this song lt b o lions in the wild,0.4321316985341955,Sammy Rodríguez
2791,where are the lions,0.42947784519366666,John Ryan
2152,like the music,0.4282930764670304,Brandon Perez Huaman
1891,i love how on a v amp t when leads start to play in the background of the vocals they sound like he is playing the song live somewhere that s what i call great production keep it up martin,0.4282930764670304,Light Light
4001,lions in the this drop is so dope,0.4279221635400303,TRONE™
1839,the guy in the video is james franco right,0.42379344841321,Jacki Otero
1487,martin garrix is the best dj in the world,0.42379344841321,Nathan Drake
4355,martijn you re the best dj in the world,0.42379344841321,lvdh00713 Heide
1395,this track is pure awesomeness and i fucking love it martin and third party did an amazing job on this one lions in the wild,0.42051072316016264,LISAH
2767,why does the final version is not as epic as the teaser don t get me wrong i love the final version but it would be better if it was like that,0.4202348103908849,AzkaGaming
3786,ommg this video is just fantastic you are the best dj in the world martin i loveee youu,0.4190581774617469,Franka Keco
4433,wauw martin garrix we love you you make the best and beautiful music in the world,0.4190581774617469,Skultzo Van Den Heuvel
1509,now you can listen the new music of blasterplace go to the channel quot blasterplace official quot and like it new dj s are in the place,0.41888092074729766,Spinnin Records
5096,am i the only one who thinks the umf version is better,0.4173919355648411,Kelvin Adithya
4864,flume and martin in the same day am i still fucking alive,0.4170222060336875,Tan Phat
768,why is he looking for lions in the desert,0.41646336503628284,iraban guptabasu
4649,quot we ll be free but i don t know where we re going you and me this is our life and we own it we ll be free quot so clear i m leaving school today,0.4149170248917029,3ric
1422,i like that martin garrix is the best,0.4141182227806745,Raphael C
2897,i actually loved the video and the vocals the rest needs probably a re or a remix,0.4138604690048061,KitKat CN
4676,but the lions in the wild are lazy they just move when they are hungry and then sleep and sleep,0.41344281267134575,Octavio Hernandez
4233,where is the orchestra in the beginning that would be so much better track with orchestra just like in his ultra miami set,0.4132605382780909,vicko
2204,hey martin garrix jou have the best songs and i am old and life in belgium jou are the best,0.4131969352706687,POOPtube
3111,when the singer says quot and i am not afraid quot i get them feels,0.4120302592425107,OCD HD
475,the cinematography in this is so good the songs even better,0.4114906777329995,Trevor Kong
4980,nothing but the better dj of the world the one and only martin garrix,0.41032779876462716,leonardo miranda
637,em i the only one who thinks that this song is better then in the name of love,0.41032779876462716,The Studio N Show
2867,i love the video,0.40995612495759093,Vale Perdomo
3844,best in the world,0.40995612495759093,Xavier Sindt
1994,dude you are so f awsome like ur my inspiration and tiesto to like become the best dj in the world but only thing i don t have a dj set but wish to get one day im and thinking of making music just like you keep making those sick f beats bro ur by far the best of the best man,0.40965210266244195,Angel.
5148,i just can t believe that the best dj in the world of just one year older than me when i m on martin garrix s age years from now i would have never done anything in life,0.40859664647693217,FzHnn
